"id","type","name"
"7034928c-64c0-4a8d-a2f0-b0c0e830df2a","#microsoft.graph.win32LobApp","7-Zip 24.07 (x64 edition)"
"8fad9c71-02e5-4f13-b6ac-23bd7db1c142","#microsoft.graph.win32LobApp","AbaClient"
"40505cfc-759e-48e0-aca1-06c2e7484d1f","#microsoft.graph.win32LobApp","Abobe Illustrator"
"e1e3f8e1-c21b-4801-8d65-03980a4f94de","#microsoft.graph.managedAndroidStoreApp","Achievers"
"12a39364-bedf-40ac-999c-2dfe2633028a","#microsoft.graph.managedIOSStoreApp","Achievers"
"09bc8109-e70d-4e76-a665-804e93efb33d","#microsoft.graph.win32LobApp","Adobe Acrobat Pro"
"3068c2fd-0fcc-441f-9936-a8781c686daf","#microsoft.graph.managedAndroidStoreApp","Adobe Acrobat Reader"
"020bf55b-4f18-433f-a850-ea9d7e43f38c","#microsoft.graph.managedIOSStoreApp","Adobe Acrobat Reader"
"afddd254-1848-4350-bb74-bd55a1191a5d","#microsoft.graph.winGetApp","Adobe Acrobat Reader DC"
"eedc0aeb-ec3f-4d32-aa7e-7036265c2007","#microsoft.graph.managedAndroidStoreApp","Adobe Acrobat Reader for Intune (Deprecated)"
"e994c478-10c0-42a1-9b14-a725230f2725","#microsoft.graph.managedIOSStoreApp","Adobe Acrobat Reader for Intune (Deprecated)"
"356c008f-5d3e-4d57-b086-b0f195f44732","#microsoft.graph.iosStoreApp","Adobe Acrobat Reader: Edit PDF"
"4fc166cb-07d5-4773-8331-bd6d4e418c1a","#microsoft.graph.androidManagedStoreApp","Adobe Acrobat Reader: Edit PDF"
"767da296-42f2-43ef-afc7-0eaae223d12d","#microsoft.graph.win32LobApp","Adobe InDesign"
"3a456f05-1b7c-48cf-9973-d3903d208963","#microsoft.graph.win32LobApp","Adobe Photoshop"
"2b3b809b-26f2-4c87-9654-2f962ec6e2b6","#microsoft.graph.managedAndroidStoreApp","Akumina EXP"
"67dd2528-87d3-46e5-abf7-cbd8d3ae6614","#microsoft.graph.managedIOSStoreApp","Akumina EXP"
"e2949ec2-3d33-48fa-b127-6517fa315bf7","#microsoft.graph.managedIOSStoreApp","Align for InTune"
"a111acc7-850a-45af-9fe1-3d7e6afec1d9","#microsoft.graph.managedIOSStoreApp","Appian for Intune"
"83afe0d2-23e0-409b-8355-9f2ab9e844c2","#microsoft.graph.managedAndroidStoreApp","Appian for Intune"
"05d14132-b2d3-441d-913f-2a09e1b7effc","#microsoft.graph.managedAndroidStoreApp","ArcGIS Indoors for Intune"
"3c2e93c5-86b0-49b3-94c3-5af4c1140d39","#microsoft.graph.managedIOSStoreApp","ArcGIS Indoors for Intune"
"2b40eb17-8884-40ca-a5ed-4908ac505608","#microsoft.graph.managedIOSStoreApp","ArchXtract"
"6904467e-3e41-4535-a482-b54efc4c2319","#microsoft.graph.managedAndroidStoreApp","ArchXtract"
"901f3f0f-0de4-4ec0-8331-057e78001c1e","#microsoft.graph.managedAndroidStoreApp","Asana: Work in one place"
"1d82caad-e0ec-4c20-b3e9-483ddbf34504","#microsoft.graph.managedIOSStoreApp","Asana: Work in one place"
"0a40c4b5-332b-4d2e-9b85-10f1a68cb602","#microsoft.graph.managedIOSStoreApp","AssetScan For Intune"
"60303d30-d9b1-4740-9dc7-d33e7a8057cc","#microsoft.graph.managedAndroidStoreApp","Atom Edge"
"92d7d560-6d9b-4ab0-ad38-d99db2c1dc13","#microsoft.graph.managedIOSStoreApp","Atom Edge"
"27ca35dd-7c8a-4be1-881c-30c600b79f64","#microsoft.graph.win32LobApp","Autodesk AutoCAD Mechanical"
"bcaf48d2-16af-4dd3-969d-2883a18e0bc0","#microsoft.graph.win32LobApp","Autodesk Design Review"
"6dbf345c-5394-4c78-a312-95573942d164","#microsoft.graph.win32LobApp","Autodesk DWG TrueView 2025"
"7d479119-7226-42b9-bf2e-3e3c8509a014","#microsoft.graph.win32LobApp","Autodesk Inventor Nastrano Editor"
"2d3c88d7-7d27-432f-b03c-c25cde7261ed","#microsoft.graph.managedAndroidStoreApp","Azure Information Protection"
"89a9f577-1917-4925-a150-c544e2f81d60","#microsoft.graph.managedIOSStoreApp","Azure Information Protection"
"9905737d-46be-4fd4-bf11-907bd9554e4d","#microsoft.graph.managedAndroidStoreApp","Beakon Mobile App"
"a46982be-b228-416b-99b6-e141f2e5d6cf","#microsoft.graph.managedIOSStoreApp","Beakon Mobile App"
"6bdc1bdb-ffcd-4bd6-a741-6e00c2fdd037","#microsoft.graph.managedIOSStoreApp","BlueJeans Video Conferencing"
"b4ee73c2-6325-4b33-9142-f4e256683197","#microsoft.graph.managedAndroidStoreApp","BlueJeans Video Conferencing"
"7a006623-ba17-4471-8027-f71722ed1057","#microsoft.graph.managedIOSStoreApp","Board Papers"
"fc58b298-d415-4600-a140-ccb5870d852e","#microsoft.graph.managedIOSStoreApp","Board Papers for Intune"
"fd9e2dbb-c443-450f-b92a-5a3109aeda8e","#microsoft.graph.managedIOSStoreApp","Board.Vision"
