"Key","Value"
"9d1ac4a2-8e7e-432b-afe9-398a58fac1ee","ELS PER VERKAUF_003_OFFERTEN_001_Vorlagen_Auftragsvorlagen R"
"4594d654-15b9-4efb-91e3-adaeb10731d4","ELS Share PRJ"
"2edb5da3-6cbd-4c58-a192-94d288c6d239","ELS SP_Abteilungs-Seiten_PM RW"
"4523be14-1748-46cc-ab9c-8f9d20673ea5","ELS PER TECHNIK_Elektro_Messmittel RW"
"57dda341-1eb7-48b3-b3a0-8bbb1d8f640f","ELS PER ORGANISATION_Service RW"
"15ba64bc-ca9a-4eab-877b-a4a2ca7c45c1","ELS PER ORGANISATION_IT_Server R"
"993b299f-49c7-4403-a630-15fe895db06d","ELS PER ORGANISATION_Safety_and_Regulations RW"
"75cf78d1-d76d-4228-92f9-24aaf846064b","ELS PER APPLICATION_SSD RW"
"64b5da8e-13a8-484a-a191-2dd466b8a91d","ELS PER APPLICATION_TIM_FCTTIMPUBLIC RW"
"44694707-e9da-40ee-b88c-ce5df6fa48e0","ELS PER APPLICATION_Abacus_HEUS RW"
"613ffb70-1d49-4add-8585-ccfff7075283","ELS SP_Abteilungs-Seiten_Entwicklung_Entwicklungsberichte R"
"6c5b73d6-6440-4a58-8adf-e793051b5c64","MAG Domain Users"
"97bc9b5b-fc70-4bf0-ae15-f7ee3cc07e8a","ELS PER OPERATIONS_3ProduktionsnaheBereiche_3QSUmwelt RW"
"88d14965-da50-4eeb-893c-9a8a4ac7999b","ELS PER OPERATIONS_3ProduktionsnaheBereiche_2AVORLager RW"
"570c554f-811a-4c1c-b818-8b428d0d10c0","ELS PER TECHNIK_RnD_MarketInformation R"
"2b9ee7da-417f-4d5a-bec4-da3426918196","ELS PER TECHNIK_Zertifizierungen R"
"3cec0bf7-7dfb-40c0-a95d-f33d3de8fbf9","ELS PER TECHNIK_CAD_06_Standard Komponenten R"
"001fa4ee-5eba-4aaa-98a0-7c75e869a753","ELS SP_ICBP_HENL RW"
"117e455d-7f0d-45fe-a877-873bf5b88de5","ELS Function General Manager Europe"
"2c382d06-7566-4ba5-a06a-998b27976446","ELS PER TECHNIK_Labor_06Pr?fverfahren RW"
"e4bce3e3-c4e5-4c2f-b8b2-8ce887c7a8f6","ELS OLD Hug_Group_GF"
"38a3f914-1bb0-43c9-899c-670836cfb3b1","ELS FunctionHead Aftersales & Logistics"
"18453057-345e-4044-b74b-9fbb5395d0e0","ELS PER ORGANISATION_Management_090Finance RW"
"4e17f348-9f58-48e1-80fa-ba9d35951d95","CH-ELS-TeamsQueue-TransportLogistics"
"4cd0a41c-ae3d-4727-a7e2-d8ab43f285a7","ELS OLD Lager"
"c8802e52-a44c-4633-9ec7-74aece0efca0","ELS PER VERKAUF_017_Lieferscheine R"
"c2a06ffa-bce2-494a-9103-d12a94287b64","ELS PER VERKAUF_014_GRAFIK R"
"dfd62769-a320-41ee-8662-197679a62030","ELS PER APPLICATION_Abacus_Dashboard RW"
"fa3b288e-07cc-4c8b-a84b-efcfeed45c29","ELS PER TECHNIK_Labor_29Gesetzgebung R"
"7ccbb26b-cca1-4fae-b31e-781a525a76bb","BAV Function Metal Design R&D"
