"id","categoryPath","displayName"
"faaa5433-b6ca-4d6b-baf5-19c22b9a1231","\Microsoft Outlook 2016\Outlook Options\Preferences\Calendar Options\Schedule View","Do not allow horizontal calendar view"
"8767feb2-a848-4283-9af4-c2987bbeaa2b","\Microsoft Word 2016\Word Options\Security\Trust Center","Dynamic Data Exchange"
"e0ec450b-5403-49df-add1-29fe7d3c4982","\Microsoft Edge","Enable Picture in Picture overlay feature on supported webpages in Microsoft Edge"
"c38f05ea-7545-45cb-b655-b95ba12b777a","\Microsoft Edge","Allow users to configure Site safety services"
"c996f3b3-4a47-40ca-904d-510daa3d35a5","\Google\Google Chrome","Allow proceeding from the SSL warning page on specific origins"
"54680f75-52d1-41ee-850e-4b4aa91549d7","\Google\Google Chrome\Allow or deny screen capture","Allow Same Origin Tab capture by these origins"
"a03367be-6ff1-454b-bb7e-ae47b44fa056","\Microsoft Edge\Content settings","Enable default legacy SameSite cookie behavior setting"
"7d381aef-d595-4d92-8218-92f1ed0a37b4","\Microsoft Edge\HTTP authentication","Configure list of allowed authentication servers"
"d304c347-5afa-48ab-8d57-0e5777684df9","\Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\File Block Settings","Legacy converters for PowerPoint"
"39ba3e51-11b6-46d5-a2e3-43384854f016","\Google\Google Chrome","Enable signin interception"
"91e71d55-1949-4753-b810-e2b4d25e9969","\FSLogix\Logging","IE plugin"
"018e03b1-4b20-4924-bd3a-e9e41a6e35fd","\Microsoft Outlook 2016\Outlook Options\Other","Disable Preview Place"
"e396f8a4-87a0-4d79-99d1-517f1321c62e","\Microsoft Word 2016\Japanese Find","Match old kana forms"
"c0f0b8fe-1c92-47a4-b780-8d3077846ecd","\Google\Google Chrome\Default search provider","Parameters for suggest URL which uses POST"
"6c2a0394-68dc-4217-900d-f5c82a4fbf08","\Microsoft Word 2016\Japanese Find","Match 'repeat character' marks"
"29814681-ac59-4920-b4a9-07b380e5b530","\OneDrive","Exclude specific kinds of files from being uploaded"
"fffd47b7-5926-4bd9-84d8-e8518fb8e412","\Microsoft Office 2016\Contact Card\Contact Tab","Replace Label - E-mail"
"7312a73b-7c84-4dba-9096-ac93bbc983e0","\Microsoft Project 2016\Project Options\Calculation\Calculation options for 'Project1'","Move start of remaining parts before status date forward to status date"
"0e99767d-2761-4add-9a1f-388b564162fe","\Google\Google Chrome\Remote access","Enable firewall traversal from remote access host"
"48767004-82c4-4fc6-aa26-f0c2bd353a0d","\Microsoft Edge\Permit or deny screen capture","Allow Window and Tab capture by these origins"
"9bfcbbc1-2a9b-497f-a942-17138d0cde28","\Microsoft Outlook 2016\Outlook Options\Preferences\E-mail Options\Advanced E-mail Options","When sending a message"
"9d8ba71e-53ce-4fae-aced-96ab164bf595","\Microsoft Excel 2016\Excel Options\Security\Trust Center\Protected View","Open files on local Intranet UNC in Protected View"
"5830537b-2a13-417a-806b-8ac374201941","\Microsoft Edge - Default Settings (users can override)","Configure the default paste format of URLs copied from Microsoft Edge, and determine if additional formats will be available to users"
"495ce9d2-4833-476f-8812-fa662692d4ec","\Microsoft Edge\Startup, home page and new tab page","Set new tab page company logo (obsolete)"
