"Key","Value"
"9cde4f65-ee4a-442c-9de5-d9bce7fe83b3","Managed Availability Servers"
"1dde28b9-c9b7-482c-8142-693ecadfc749","Projet Fides"
"92f722e3-a1cb-4985-8c3a-ef3a476d0e8f","CSServerAdministrator"
"231441e0-a04c-4eaf-b6ac-3525f5c69329","Intune_Users_Apps_OptionalDeployment"
"7fd2afd5-4429-46f1-90cc-c2422c59c5bc","SRMW_Intune_Win_Devices_DE"
"1d4ac6fd-3d31-4b79-a50f-455f783b1280","AG CallQueueTest Prio1"
"1479aa63-2849-42ad-b206-59ab745b3af7","Test SfB"
"93c998f4-c1ff-41f1-ba23-726c69ce1de2","Azure Subscription Owners"
"68813b36-5843-4c94-a0fe-2461124867a5","Nimbus Training"
"faae922b-9310-4ebb-97c2-d79c07f78a9e","SRMW_Intune_Android_Devices_POWP"
"2c793a40-74d2-4e36-b48c-5763f8b74c6a","SRMW_Intune_MobileMDM_Users_All"
"6f9c8979-da59-4212-a2ed-9f8b7bb5811a","Netmon Users"
"a5cb84cc-c639-4fdf-8ac9-313c02e31eb0","RTCUniversalReadOnlyAdmins"
"6be6ce67-d623-4b3e-91f1-c6c180c8a897","AUDM Endusers"
"c3f6dc60-9fe3-45d5-b25f-32d9c78a897b","DevApps"
"b52f88d3-e10b-4eb2-b9f1-c631f3fc015b","DL Test 2"
"8f44335b-996d-4f97-8a69-83b3839e890d","Intune_Users_MDM"
"9c3112cf-782a-4939-8ece-85ff6f914dfa","TG Jan"
"6f899416-e043-4a14-921c-a2cc8faf47fb","B2B PS Luware Admin"
"e2290e05-14bb-4548-b3af-789e8a25ac5b","tstSfBVoicePolicy"
"81c263a8-3f36-44bb-965f-0ddfbad09ddd","RTCUniversalGlobalWriteGroup"
"2b623c3c-11a5-4872-9af8-abc7c15617b7","Exchange Servers"
"2a4f0b51-421c-4223-8d3d-185b42da8576","EMM_U_All"
"d2f6d8ab-5274-41e5-a331-f92c0c0191c2","RTCComponentUniversalServices"
"d67c864c-a58e-4ffe-bd3c-cfc658243120","CSArchivingAdministrator"
"7fcea422-b44e-439c-977e-5615d677b021","ADSyncPasswordSet"
"ffed9875-0ee6-4b87-8c3d-c59a60f498d1","Exchange Trusted Subsystem"
"5555acef-1a06-4903-b204-365f368d002f","ExchangeLegacyInterop"
"f4495ae5-008e-4627-84d8-2583ae53a612","RTCProxyUniversalServices"
"e3a85ad1-e618-4136-a052-0ceae36bd5bf","SRMW_Intune_Win_Devices_Depl_AADJ-STD"
"02c6013d-e14e-4929-982a-e85e803e6e71","RTCUniversalServerAdmins"
"ed188a55-76e4-45fc-990e-0aefc01a0abc","AG CallQueueTest Prio2"
"ebce325f-3f8e-4681-b54f-4c4a04563b49","CsPersistentChatAdministrator"
"ffd2c13d-fb37-4364-9e80-41ae64557068","SRMW_Intune_Android_Devices_COWP"
"73c91d44-19f8-4172-a8ac-38bfcfc53403","Service Desk 1"
"5ee0b5f3-160a-40ce-980b-8abb30499222","WinRMRemoteWMIUsers__"
"92fd0579-45ea-4e2d-a747-55f359dcfd1c","SRMW_Intune_Win_Device_BulkEnrolled"
"a4d23f1f-333c-4986-88aa-0e6aa21740e3","RTCUniversalSBATechnicians"
"b3adea6a-76db-4064-9374-3ae48a7fa9b4","TestTenant CH"
"1dc240ae-6a43-4dd7-adf5-80d64dc3b2fe","TG Tino"
"b407a1c5-3916-4c22-a007-89ee98826371","Exchange Windows Permissions"
"dcedb6e3-803b-450a-875b-baa80d58dab9","CSUserAdministrator"
"af393897-1564-4b96-b538-26c770bd2fac","CSResponseGroupAdministrator"
"731e5e62-c1df-42fc-b5b9-9d937014ac5b","CSHelpDesk"
"3e2401ed-23c0-47de-9a97-e6e5c579d901","Powershelltest"
"69540e9a-5073-4de0-bc74-ffa4f903dc35","Alarm"
"26bac3ed-5af8-4b8f-bd9a-63f1030e8b74","SRMW_Intune_Role_ViewOnlyAdmins"
"9caf9320-428e-41f3-b96a-faff3c7d12d6","SRMW_Intune_Win_Devices_IT"
"315175aa-f34c-4f1b-99aa-fd75b2d50f87","SRMW_Intune_Android_Devices_CODD"
"c184e287-2397-4a90-ba46-28a1c074970f","ADSyncAdmins"
"a8764b78-ee59-4d66-bc2d-e6e2009ada36","SRMW_Intune_Role_OperationsAdmins"
"f083df46-a9e8-4575-bc5e-0651a5e763cd","DL Test 1"
"50134263-28d1-4862-bb35-4c2c31e99996","Call Queue Test Agents"
"bd941835-4653-47da-b47e-11912c83678c","Azure ATP testtenantch Viewers"
"c10c4293-7cd9-4ecc-af54-d383b2831bdd","SRMW_Intune_Win_User_All_Dyn"
"dfcdb24f-a679-45cf-8433-e895f3780ea9","Azure ATP testtenantch Administrators"
"b9cf8176-ca91-4151-80a8-c7615ab1e7e1","SRMW_Intune_Android_Users_TestTenant"
"804a259e-9c7b-44d3-8168-bfa4c8cd24db","Modern Workplace"
"2127de15-0785-4265-9015-c894b1201936","EMM_U_PoliciesException"
"13828dbd-f5ab-47ce-99aa-f29487d14b1e","AUDM Telephony Admins"
"f993ea43-738d-480a-9bfb-da707dcda062","Intune_Devices_TeamsPhones"
"4aca2bbc-88c2-4199-b4ad-9b870339204f","GRP_TestTeamONB"
"9d7cbbe2-502a-4389-86fe-a8e38fdf2982","SRMW_Intune_Win_Devices_Depl_AADJ-ADM"
"0476d0ed-ec8b-4d0c-b841-fb3a1f828fce","Group for Answers in Viva Engage ? DO NOT DELETE 8007645"
"b410d89c-1574-474e-bd26-b8fa86f93a29","SRMW_Intune_Role_FullAdmins"
"9497c3f6-2ef8-4f37-90da-2bc9da3e5445","RTCHSUniversalServices"
"9074d5e4-f233-485a-a9c0-adb979088919","tstCallQueueTeams"
"df748532-3bb5-4ef9-8647-e27dc7f7078b","AMO-Test1"
"aff72bdb-e2a0-4348-9977-dd35c1a3050b","Intune_Devices_AutoPilot"
"dcf60926-c0f7-412f-b996-500538879d4c","SRMW_Intune_iOS_Users_BYOD"
"63920e0d-0a0a-4a26-bfb6-a73110a94d05","ContentSubmitters"
"2c4d4fa2-7698-4037-9aee-b96b17468a6e","RTCUniversalUserAdmins"
"a6dce049-0e42-4d1a-ad0a-525c423a0d27","SRMW_Intune_iOS_Device_Managed"
"77105de1-bcb2-4b65-ace6-a9d20319a212","Demo"
"447d3ea0-93df-4b2a-bfc0-fe94f7dfc8f9","DnsAdmins"
"4e19ddbd-21a8-4647-bd3a-3e8703001266","Intune_Devices_All_Android"
"be3feaea-6f42-46cd-bbc5-f9541b849777","ADSyncBrowse"
"2329e0cc-dd28-42b2-87c7-2b6e344859ba","CSVoiceAdministrator"
"1a881a67-b9a1-49f1-9a39-8240f27a0a2e","SRMW_Intune_Win_Users_All"
"69a87114-28ef-421d-867f-bc95d519bbb6","Intune_Users_TeamsPhones"
"51eda5f6-8ef0-4593-a64d-d87d4f32322b","RTCUniversalServerReadOnlyGroup"
"178bf70c-5c2b-41e8-a3f2-7bc9f7b76a37","DHCP Administrators"
"475790c5-9ff8-4d12-8daf-88881d34f039","TG Tim"
"f21c1885-0b37-4d8a-9a33-a64db158f7c0","SRMW_Intune_Win_Devices_Depl_HAADJ-STD"
"05fbbb18-bb1e-469e-8681-434a33e11789","CSResponseGroupManager"
"96038e93-cb0a-4866-8fb2-439297745e2d","CSAdministrator"
"ab6d0bf0-dbb2-403b-9adf-c88632b9bc56","Intune_Devices_All_Windows"
"b588f38a-5835-4c6a-8457-543768fa547c","SRMW_Intune_Android_Devices_COFM"
"d2c9a1f4-eb7c-47b5-bc13-fb3b50b33210","Exchange Install Domain Servers"
"33733901-9178-406e-9b65-190d042d1296","AMO-Test2"
"4b0aa738-2209-4df8-90da-6947a6a8d955","ADSyncOperators"
"b1faaa7c-c7f0-487a-ac78-4a83cda71bf1","DHCP Users"
"13dfe496-ab4e-402d-8089-ac4505b88ca4","tstSfBEnableUsers"
"c316921a-05b4-40f1-9351-5f35437514d3","SRMW_Intune_MobileMAM_Users_All"
"eb4de0f8-926d-4c51-a19f-02e7c7bfc8aa","DnsUpdateProxy"
"d1a4283e-2a77-4b3a-99b0-01952cfe346e","SRMW_Intune_Android_Users_BYOD"
"331374a6-4c55-4614-928a-37863b89602e","Intune_Devices_Apps_Required"
"118619fa-29d2-46dd-a2bf-306dcffacb27","Call Queue Test 3"
"d44a6513-7d60-4191-adb5-ed5fa8544cf6","SRMW_Intune_Win_Devices_All"
"9e301fbc-240c-460f-95de-f6546a1bfd21","tstSfBExternalAccessPolicyGroup"
"842bfc28-2f2a-4762-8342-0bee87cd3ed1","AMO-TestDevice1"
"fe3809a2-816a-43a4-b996-c128f6f5277f","tstCallQueueSfBOnline"
"f5882691-17df-4e26-8ab4-c74b746f2801","Tendfor Admins"
"6e362d9f-5ba6-43e4-91fc-f2bd80027a32","Azure ATP testtenantch Users"
"c4118f76-1525-4d2f-ac1d-259e5be18420","SRMW_Intune_Win_Device_APMig"
"3e655aa1-3c82-4949-b7ed-6bcb4c64b587","RTCUniversalUserReadOnlyGroup"
"718a2334-3477-4854-95db-9206a92a4023","IOSEnrollment"
"0693596c-d4f4-4f1a-ad53-9c5a8834d624","Test Hauptnummer"
"a0a64571-f3d7-480d-a37e-6c14a6c897d9","GRP_External Share"
"6089c3ab-71ba-44d5-b2d4-6aab57dd9d0f","SRMW_Intune_Android_Users_EVAMdemo"
"be21bf88-713d-4238-933f-5ed149af0e85","RTCSBAUniversalServices"
"fcee891d-a8a2-404a-b3ca-5b287a333385","Intune_Users_MAM"
"053433b9-0f54-46f6-bb24-dd68213cdbda","testtenant-NIMBUS-Tenant-Admins"
"5097ea8d-94b3-4e0b-a16b-144087ec3e8e","SRMW_Intune_Win_Devices_FR"
"ec3056a2-e669-4aa5-8206-c40e11539d85","EMM_U_Pilot"
"85d4fe46-3dc1-4319-a8eb-70a1ff56075e","AUDM Unpersonal users"
"52201bc7-d9eb-4ee4-8109-4f94e103d3b7","Nimbus 41615013902"
"cae8072e-c335-4012-9245-7acbfe006f69","SfB Servers"
"b2b97516-baea-4019-bc0f-74101d8bbf85","SRMW_Intune_Win_Devices_Depl_HAADJ-ADM"
"732d4b9d-5a73-4825-9f4b-6f18fda7a252","RTCUniversalGlobalReadOnlyGroup"
"969c5dad-671e-43ad-9f32-90be1358289b","SRMW_Intune_Win_Device_LocalAdmins"
"32d50445-b67b-488c-bd05-d52b7a7c15f0","AUDM Sysadmins"
"330130c6-45c2-4e90-9e4e-47f2cfbbaac0","Nimbus 41615013901"
"0f393652-37b4-4055-892b-e57d23c8ea26","CSViewOnlyAdministrator"
"d7124fb3-a2a7-4e1f-b6af-b93b5c4283db","RTCUniversalConfigReplicator"
"d8e4f355-ca61-4a26-a612-a3467dde4fff","CSLocationAdministrator"
