"Key","Value"
"3ac6b35b-00d2-4d22-aff8-d5c5a0abcb3a","Adobe Acrobat Reader: Edit PDF"
"6623039f-a98a-426b-ae1b-fe17699945ba","Board.Vision"
"392d2b4b-b923-4e78-93e6-1c0cddb65144","Zoom for Intune"
"ffd3b612-f7f9-4ab4-8fc1-9ad7d2be2ecb","MyITOps for Intune"
"1be844ac-4033-4992-b9a1-9aa4e963ef6d","EVAM web site"
"f4b34c04-ca89-42d2-bf3e-7795ae7df776","Vbrick Mobile"
"0a40c4b5-332b-4d2e-9b85-10f1a68cb602","AssetScan For Intune"
"21838fb8-cf45-4250-b773-79d267fd3946","Microsoft OneNote"
"7023105c-0ec7-4ce8-890e-74e5d549b32f","Excel Mobile"
"a571876f-a49d-485e-8d83-650c3137867c","Meetio"
"62727815-1294-4f99-96e4-8c912f339919","Power Apps"
"40e0e394-54d8-4a26-b762-fee3a82dcf83","iAnnotate for Intune / O365"
"0e750a01-d32a-4a21-8739-7e2bc20ad12f","Citrix ShareFile for Intune"
"50df56dd-e71c-48ee-af03-1061d6cc31aa","FleetSafer"
"2ac266f7-a59a-464e-8f6a-3c851a1c9bf1","Freshservice for Intune"
"8d2f46f7-71f4-42f1-a339-8c10015d9392","Microsoft Planner"
"e9c0ac42-c01b-4b8d-b45e-581e63bd8fd8","Groupdolists"
"964c8cce-5162-4d09-95e4-185bc855383a","Install de-CH language"
"90b30a44-bf1d-4e45-98d1-b494a75ca6ba","PenPoint"
"09caf5be-b055-4aa0-a894-7523be32d37a","LinkedIn: Jobs & Business News"
"de77e377-a4ce-4d6c-b414-a882849361fc","Board.Vision for iPad"
"b5df8fec-82b5-447c-9edd-a3a59a9e2b24","Now? Mobile - Intune"
"4cc6d7ae-22b0-4f6d-9523-8d4432a9df20","Field Service (Dynamics 365)"
"3c2e93c5-86b0-49b3-94c3-5af4c1140d39","ArcGIS Indoors for Intune"
"53b0b57a-3370-4083-b989-225b174fbd38","Sway"
"b4a042f9-4671-42f8-8f0c-dc9312730531","Idenprotect Go"
"84b20e52-c54b-4c72-8601-f92ecc17bbbb","Groupdolists"
"85c1b899-8571-4b8e-82ed-6e2161f43af0","Microsoft Copilot"
"88e02527-f5be-4a7e-b9ea-ffebd5075adb","Microsoft Outlook"
"70e210b2-6c03-4ec1-b0d2-899d80ee1918","Field Service (Dynamics 365)"
"1648e5ce-df44-41f5-a337-d208ac0fef2c","Viva Engage"
"3bbe90df-a6a8-40dc-a63e-cc46ce32227b","Adobe Acrobat Reader: Edit PDF"
"c6a034c6-fd3f-488c-b25a-4bd6f1c74adc","Work Folders"
"020bf55b-4f18-433f-a850-ea9d7e43f38c","Adobe Acrobat Reader"
"6bdc1bdb-ffcd-4bd6-a741-6e00c2fdd037","BlueJeans Video Conferencing"
"14a69512-fafa-4f8f-a478-c9f421b6bc14","Microsoft Defender Endpoint"
"ea10a9db-a9fb-4ea7-94d2-8b7e97800b22","Microsoft Edge"
"956b125a-09a9-4a31-b515-eae9a8e722dd","Omnipresence Go"
"71cacdae-ba86-4cec-ae46-e5e1e8266d58","OfficeMail Go"
"f4f26fc9-1c9a-46fa-987c-444e6ecce4de","Microsoft Azure"
"d55edefa-a6be-4226-9a44-499227095fe4","Microsoft 365 (Office)"
"5e090651-89b0-44a6-8fbb-a9eb280b7dfc","Microsoft Teams"
"5510a8a8-6c60-4116-8a5a-600792154551","Microsoft Office"
"56cbac71-85ce-49bb-919d-aa9dac5c91c8","Hey DAN for Intune"
"7f986e2a-c34b-44f7-89ea-3e925b088140","Dynamics 365 Sales"
"538a0653-dadb-48f8-a3dc-6f99e2c30f98","Microsoft Edge"
"a111acc7-850a-45af-9fe1-3d7e6afec1d9","Appian for Intune"
"792a8889-1a2d-46e3-9917-c2592e957b30","Power Apps"
"7bded0b9-7046-42c8-b3c5-25ac778f0fcf","Nexis Newsdesk? Mobile"
"a67d0f84-bbb0-469d-bad9-ab3096793f7f","MURAL - Visual Collaboration"
"a7756cb8-ef8c-419c-8e1d-db5370ae10aa","Fellow.app"
"a7499fb2-053a-49d4-854e-0963cddc3abb","IT Support Tools"
"d7394e7e-f081-47d3-a193-c9d58ec63fc9","ClickShare"
"1f6bdc81-3253-4630-b136-139cddf59f54","ServiceNow? Agent - Intune"
"91766b8e-6006-4e86-a1a5-62a541cf5472","ZER? - email for attorneys"
"18598888-7631-4c2a-8509-ad7a94aaddad","Microsoft Excel: Spreadsheets"
"6a42631c-cbd0-47fa-8147-b6180337cd21","Freshservice for Intune"
"25174cda-38ea-4b24-a28b-4f1acb95318b","Microsoft Loop"
"db44d500-3976-4525-95e8-e083316a7ea3","RingCentral for Intune"
"8ace6327-1933-44f9-81ad-e6a184f80152","Microsoft Kaizala"
"511e8529-bf7a-4bd1-88d9-72d93cf6750e","PK Protect for Intune"
"7ae0abdc-6adb-4ee9-b1f3-66d851b68f34","Remote Desktop"
"0cf190c6-89ba-4d82-bb27-b404c5259c43","Microsoft Defender: Antivirus"
"4db686ba-dab1-43c7-9065-27423d8efcbe","Tableau Mobile for Intune"
"2b40eb17-8884-40ca-a5ed-4908ac505608","ArchXtract"
"89b78197-fb7f-4c54-96a1-8fe62b31cb98","Fichier Utile"
"83afe0d2-23e0-409b-8355-9f2ab9e844c2","Appian for Intune"
"91c14e0e-af6a-42c1-9722-67f5b876b597","Microsoft Excel"
"fa2fffc3-5d56-40d5-883c-ea22590f4be4","Re:Work Enterprise"
"952c4953-e46a-4a25-a8b9-ce5e07aede32","Microsoft Lens"
"158c4030-fef6-41a3-9f1a-de3037d7f0ae","Enterprise Files for Intune"
"1c59fa66-fdce-4bee-b764-ace354f2aa19","Actualit?s de la cantine"
"e9095346-31b0-449a-b861-6e9c3a8d5e3f","Microsoft Power Apps"
"3068c2fd-0fcc-441f-9936-a8781c686daf","Adobe Acrobat Reader"
"e994c478-10c0-42a1-9b14-a725230f2725","Adobe Acrobat Reader for Intune (Deprecated)"
"de1e91d0-ca6f-4bd6-a9bb-a57a45f65143","EVALARM"
"c83d3841-d364-43fe-9035-a928be642d3d","Zoom for Intune"
"a1e2e816-6a30-496b-9f6f-b3ae68216104","Meetings by Decisions"
"0e01ed5f-cda5-41df-964b-2780c50576fb","Microsoft Stream"
